"","lon","lat","address"
"1",-87.6297982,41.8781136,"chicago, il, usa"
"2",-6.6655315,54.5426415,"80 moor rd, coalisland, dungannon bt71 4qd, uk"
"3",-110.926479,32.2217429,"tucson, az, usa"
"4",-81.7229086,41.4047742,"parma, oh, usa"
"5",-5.0527125,50.2660471,"cornwall, uk"
"6",-43.1152211,-22.8858975,"niterói, state of rio de janeiro, brazil"
"7",-95.712891,37.09024,"united states"
"8",-91.8318334,35.20105,"arkansas, usa"
"9",-1.76261,53.8108176,"west yorkshire, uk"
"10",-88.0070315,43.0166806,"west allis, wi, usa"
"11",-85.6023643,44.3148443,"michigan, usa"
"12",-51.92528,-14.235004,"brazil"
"13",-79.6735841,41.6262707,"unknown, 101 w spring st, titusville, pa 16354, usa"
"14",-95.3698028,29.7604267,"houston, tx, usa"
"15",-118.2436849,34.0522342,"los angeles, ca, usa"
"16",-3.435973,55.378051,"united kingdom"
"17",-78.6381787,35.7795897,"raleigh, nc, usa"
"18",-96.1027371,29.3116366,"wharton, tx 77488, usa"
"19",-84.1916069,39.7589478,"dayton, oh, usa"
"20",-86.7816016,36.1626638,"nashville, tn, usa"
"21",37.6172999,55.755826,"moscow, russia"
"22",-118.2436849,34.0522342,"los angeles, ca, usa"
"23",11.2558136,43.7695604,"florence, metropolitan city of florence, italy"
"24",-0.4617075,50.9280143,"west sussex, uk"
"25",-77.4310992,38.8942786,"chantilly, va, usa"
"26",-106.346771,56.130366,"canada"
"27",-94.658108,39.022807,"5835 lamar ave, mission, ks 66202, usa"
"28",-95.3698028,29.7604267,"houston, tx, usa"
"29",-43.2923128,-22.8932749,"r. josé dos reis, 425 - engenho de dentro, rio de janeiro - rj, 20770-001, brazil"
"30",-4.4785112,54.1500746,"dukes rd, douglas im1 2ar, isle of man"
"31",-80.3997748,26.1003654,"weston, fl, usa"
"32",-97.7430608,30.267153,"austin, tx, usa"
"33",22.937506,-30.559482,"south africa"
"34",-82.907123,40.4172871,"ohio, usa"
"35",-84.2029922,39.4353373,"lebanon, oh 45036, usa"
"36",-63.8611027,11.0987174,"paraguachí 6317, nueva esparta, venezuela"
"37",-122.2913078,37.8271784,"san francisco bay area, ca, usa"
"38",55.2707828,25.2048493,"dubai - united arab emirates"
"39",-89.9366498,35.919568,"alabama st & mississippi ave, blytheville, ar 72315, usa"
"40",-8.3137409,51.7729045,"morrissey's slip, fountainstown, co. cork, ireland"
"41",-96.7969879,32.7766642,"dallas, tx, usa"
"42",-56.1933732,-34.9062082,"london paris, río negro 1338, 11100 montevideo, uruguay"
"43",-40.2957768,-20.2976178,"vitoria, vitória - state of espírito santo, brazil"
"44",-97.0403352,32.8998091,"dfw international airport (dfw), 2400 aviation dr, dfw airport, tx 75261, usa"
"45",-7.6920536,53.1423672,"ireland"
"46",-95.712891,37.09024,"united states"
"47",-99.8124935,29.8851459,"real county, tx, usa"
"48",-97.0403352,32.8998091,"dfw international airport (dfw), 2400 aviation dr, dfw airport, tx 75261, usa"
"49",-75.6691652,45.319212,"ottawa international airport (yow), 1000 airport parkway private, ottawa, on k1v 9b4, canada"
"50",-96.7969879,32.7766642,"dallas, tx, usa"
"51",-121.8863286,37.3382082,"san jose, ca, usa"
"52",-76.6121893,39.2903848,"baltimore, md, usa"
"53",-95.712891,37.09024,"united states"
"54",19.5033041,47.162494,"hungary"
"55",-54.1,-21.6,"niterói, nova alvorada do sul - ms, 79140-000, brazil"
"56",-0.9432701,51.4544162,"london rd, earley, reading rg6 1aj, uk"
"57",-2.9915726,53.4083714,"liverpool, uk"
"58",-8.6291053,41.1579438,"porto, portugal"
"59",-111.0937311,39.3209801,"utah, usa"
"60",-97.3307658,32.7554883,"fort worth, tx, usa"
"61",-97.4286988,37.6508529,"wichita dwight d. eisenhower national airport (ict), 2277 eisenhower airport pkwy, wichita, ks 67209, usa"
"62",-38.5014136,-12.9722184,"salvador - state of bahia, brazil"
"63",-49.2647885,-16.6868824,"goiânia - state of goiás, brazil"
"64",-3.435973,55.378051,"united kingdom"
"65",-43.1728965,-22.9068467,"rio de janeiro, state of rio de janeiro, brazil"
"66",9.2785583,40.8268383,"province of olbia-tempio, italy"
"67",-97.7430608,30.267153,"austin, tx, usa"
"68",-111.6709584,32.7558935,"arizona city, az 85123, usa"
"69",-75.6971931,45.4215296,"ottawa, on, canada"
"70",-78.7788498,35.7341718,"115 crescent commons suite 250, cary, nc 27518, usa"
"71",-75.749892,39.6826436,"83 e main st, newark, de 19711, usa"
"72",-43.1728965,-22.9068467,"rio de janeiro, state of rio de janeiro, brazil"
"73",-0.4770706,51.5525539,"cambridge rd, uxbridge ub8 1bq, uk"
"74",-119.7725868,36.7468422,"fresno, ca, usa"
"75",-123.3656444,48.4284207,"victoria, bc, canada"
"76",-79.9592134,40.5594832,"allison park, hampton township, pa, usa"
"77",-84.3896373,33.7517791,"50 lower alabama street #22, atlanta, ga 30303, usa"
"78",-80.1302936,25.7904697,"216 lincoln rd, miami beach, fl 33139, usa"
