,lon,lat,address
1,-119.4179324,36.778261,"california, usa"
2,-73.298408,41.7040641,"us-202, united states"
5,-72.6412013,42.3250896,"northampton, ma, usa"
9,-121.3716178,38.4087993,"elk grove, ca, usa"
12,-74.0059728,40.7127753,"new york, ny, usa"
13,-73.9182387,40.6254241,"2142 ralph ave, brooklyn, ny 11234, usa"
14,-95.712891,37.09024,united states
15,-83.2318054,33.0798884,"231 w hancock st, milledgeville, ga 31061, usa"
19,-118.542586,34.3916641,"santa clarita, ca, usa"
22,-81.1637245,33.836081,"south carolina, usa"
23,-89.4012302,43.0730517,"madison, wi, usa"
24,-84.5111008,39.1029873,"114 e 6th st, cincinnati, oh 45202, usa"
25,-118.3286614,34.0928092,"hollywood, los angeles, ca, usa"
27,-90.1994042,38.6270025,"st. louis, mo, usa"
29,-77.0368707,38.9071923,"washington, dc, usa"
30,-71.1786237,42.1236499,"sharon, ma, usa"
31,-105.5153527,38.3706368,"45 log ln dead, cotopaxi, co 81223, usa"
33,-93.2009998,44.9374831,"twin cities, mn, usa"
35,-122.0020776,37.5262979,"2086 newpark mall rd, newark, ca 94560, usa"
38,-95.971261,36.153315,"533 s rockford ave, tulsa, ok 74120, usa"
41,-111.73854,40.3641184,"pleasant grove, ut, usa"
46,-83.1761631,41.1154697,"71 s washington st, tiffin, oh 44883, usa"
49,-90.1994042,38.6270025,"st. louis, mo, usa"
50,-79.0192997,35.7595731,"north carolina, usa"
51,-79.9133816,40.465722,"larimer ave, pittsburgh, pa 15206, usa"
54,-71.0588801,42.3600825,"boston, ma, usa"
55,-95.712891,37.09024,united states
58,-96.9944489,32.482361,"midlothian, tx, usa"
60,-105.0749801,40.3977612,"loveland, co, usa"
61,-81.5157535,27.6648274,"florida, usa"
66,-95.9618958,36.0404924,"8330 riverside pkwy, tulsa, ok 74137, usa"
71,-83.2948922,36.2139814,"morristown, tn, usa"
73,-79.0780831,40.008411,"somerset, pa 15501, usa"
75,-74.3118212,41.3911653,"orange county, ny, usa"
76,-95.3698028,29.7604267,"houston, tx, usa"
77,-95.712891,37.09024,united states
79,-122.3320708,47.6062095,"seattle, wa, usa"
81,-83.5149023,36.2809202,"rutledge, tn 37861, usa"
82,-87.6297982,41.8781136,"chicago, il, usa"
83,-76.1783739,40.0466571,"lancaster county, pa, usa"
85,-104.9793907,39.7368455,"608 e 13th ave suite 1, denver, co 80203, usa"
86,-102.623199,32.772201,"513 cr 103, seminole, tx 79360, united states"
88,-123.7510225,47.750087,"olympic peninsula, washington 98331, usa"
89,-79.0377388,43.0962143,"niagara falls, ny, usa"
90,-118.377219,34.019486,"5933 bowcroft st, los angeles, ca 90016, usa"
91,-119.4179324,36.778261,"california, usa"
93,-84.4277001,33.6407282,"hartsfield-jackson atlanta international airport (atl), 6000 n terminal pkwy, atlanta, ga 30320, usa"
95,-81.5157535,27.6648274,"florida, usa"
96,-86.6540919,34.7123752,"tranquility base, huntsville, al 35805, usa"
97,-76.9957039,39.4235805,"20 liberty rd d, sykesville, md 21784, usa"
104,-118.2436849,34.0522342,"los angeles, ca, usa"
105,-86.2516406,33.1731716,"sylacauga, al, usa"
107,-86.902298,32.3182314,"alabama, usa"
109,-74.937139,39.0135465,"republic ln, villas, nj 08251, usa"
113,-77.026088,38.9906657,"silver spring, md, usa"
114,-84.4277001,33.6407282,"hartsfield-jackson atlanta international airport (atl), 6000 n terminal pkwy, atlanta, ga 30320, usa"
115,-75.1585075,40.5876009,"amsterdam, holland township, nj 08848, usa"
116,-121.436935,43.8729511,"57100 beaver dr # 24, sunriver, or 97707, usa"
117,-121.8863286,37.3382082,"san jose, ca, usa"
120,-118.2436849,34.0522342,"los angeles, ca, usa"
121,-83.7740198,35.8725599,"seymour, tn, usa"
122,-95.712891,37.09024,united states
123,-118.2436849,34.0522342,"los angeles, ca, usa"
125,-84.4838654,42.7369792,"east lansing, mi, usa"
126,-71.065428,42.504923,"1 new salem st, wakefield, ma 01880, usa"
127,-121.7114362,48.4241961,"skagit county, wa, usa"
129,-121.9654696,36.9711454,"1435 41st ave, capitola, ca 95010, usa"
131,-80.2706044,26.271192,"coral springs, fl, usa"
132,-75.3698895,40.0415996,"wayne, pa, usa"
133,-117.5931084,34.1063989,"rancho cucamonga, ca, usa"
136,-86.5804473,35.5174913,"tennessee, usa"
137,-118.2436849,34.0522342,"los angeles, ca, usa"
138,-87.735895,42.1080834,"winnetka, il, usa"
139,-119.4179324,36.778261,"california, usa"
144,-74.0059728,40.7127753,"new york, ny, usa"
147,-95.712891,37.09024,united states
151,-86.902298,32.3182314,"alabama, usa"
152,-73.7948516,40.7282239,"queens, ny, usa"
153,-82.907123,40.4172871,"ohio, usa"
157,-110.926479,32.2217429,"tucson, az, usa"
159,-86.158068,39.768403,"indianapolis, in, usa"
161,-112.3679279,33.6292337,"surprise, az, usa"
162,-87.7845025,41.8850317,"oak park, il, usa"
163,-75.6012002,41.3405944,"8th, pennsylvania 18444, usa"
164,-86.158068,39.768403,"indianapolis, in, usa"
168,-122.6764815,45.5230622,"portland, or, usa"
173,-112.0069083,42.6192183,"430 main st, lava hot springs, id 83246, usa"
174,-122.2710788,37.5585465,"foster city, ca, usa"
175,-71.4128343,41.8239891,"providence, ri, usa"
176,-117.1661449,33.1433723,"san marcos, ca, usa"
178,-122.2913078,37.8271784,"san francisco bay area, ca, usa"
180,-75.1068388,40.1742757,"hatboro, pa 19040, usa"
181,-96.0617155,33.0929274,"1763 co rd 3302, greenville, tx 75402, usa"
183,-105.2561166,39.98998,"44 co-93, boulder, co 80305, usa"
184,-87.7828523,42.7261309,"racine, wi, usa"
185,-95.712891,37.09024,united states
187,-119.0187125,35.3732921,"bakersfield, ca, usa"
188,-75.2424229,39.8743959,"philadelphia international airport (phl), 8000 essington ave, philadelphia, pa 19153, usa"
189,-84.4277001,33.6407282,"hartsfield-jackson atlanta international airport (atl), 6000 n terminal pkwy, atlanta, ga 30320, usa"
190,-109.3838725,36.9615025,"redskin blvd, teec nos pos, az 86514, usa"
191,-97.092877,35.0077519,"oklahoma, usa"
192,-88.7878678,43.7844397,"wisconsin, usa"
193,-74.0059728,40.7127753,"new york, ny, usa"
194,-77.0368707,38.9071923,"washington, dc, usa"
195,-69.4454689,45.253783,"maine, usa"
196,-94.785493,30.060823,"514 davidge st, liberty, tx 77575, usa"
200,-95.712891,37.09024,united states
202,-87.6297982,41.8781136,"chicago, il, usa"
204,-77.1945247,41.2033216,"pennsylvania, usa"
207,-87.5499127,41.7319051,"s houston ave, chicago, il 60617, usa"
208,-122.5697032,38.1074198,"novato, ca, usa"
209,-81.6943605,41.49932,"cleveland, oh, usa"
211,-91.8318334,37.9642529,"missouri, usa"
212,-96.9488945,32.8140177,"irving, tx, usa"
213,-89.9206512,35.1213511,"east memphis, memphis, tn, usa"
214,-88.914102,40.482914,"3201 cira dr #201, bloomington, il 61704, usa"
216,-93.2009998,44.9374831,"twin cities, mn, usa"
217,-95.857444,36.118537,"10664 e 31st st, tulsa, ok 74146, usa"
218,-84.3879824,33.7489954,"atlanta, ga, usa"
220,-93.1566107,45.0060767,"roseville, mn 55113, usa"
221,-74.0059728,40.7127753,"new york, ny, usa"
222,-116.419389,34.9592083,"southern california, ca, usa"
223,-102.6616977,40.1474837,"county rd 40, yuma, co 80759, usa"
227,-85.6023643,44.3148443,"michigan, usa"
229,-72.827915,41.8540094,"simsbury, ct, usa"
231,-81.5157535,27.6648274,"florida, usa"
233,-95.2860474,29.5635666,"pearland, tx, usa"
234,-95.712891,37.09024,united states
235,-82.9000751,32.1656221,"georgia, usa"
238,-83.4252673,36.0416083,"1006 epco dr, dandridge, tn 37725, usa"
239,-73.9983821,40.6394368,"4802 10th ave, brooklyn, ny 11219, usa"
