,lon,lat,address
1,-119.4179324,36.778261,"california, usa"
4,-104.990251,39.7392358,"denver, co, usa"
5,-111.5764087,40.2532608,"forest rd 027, utah, usa"
7,-76.6412712,39.0457549,"maryland, usa"
8,-87.6297982,41.8781136,"chicago, il, usa"
9,-121.4943996,38.5815719,"sacramento, ca, usa"
10,-78.548621,35.3821067,"benson, nc 27504, usa"
11,-90.4564358,39.6297869,"6 il-106, winchester, il 62694, usa"
12,-84.1052256,40.742551,"lima, oh, usa"
16,-90.5389662,41.8239952,"dewitt, ia 52742, usa"
17,-95.712891,37.09024,united states
18,-71.0588801,42.3600825,"boston, ma, usa"
19,-74.0059728,40.7127753,"new york, ny, usa"
22,-95.712891,37.09024,united states
25,-87.6876969,42.0450722,"evanston, il, usa"
26,-79.9414266,37.2709704,"roanoke, va, usa"
28,-99.9018131,31.9685988,"texas, usa"
29,-82.4571776,27.950575,"tampa, fl, usa"
30,-81.5190053,41.0814447,"akron, oh, usa"
31,-115.1398296,36.1699412,"las vegas, nv, usa"
32,-118.1937395,33.7700504,"long beach, ca, usa"
34,-86.80249,33.5206608,"birmingham, al, usa"
35,-86.158068,39.768403,"indianapolis, in, usa"
37,-122.4194155,37.7749295,"san francisco, ca, usa"
41,-112.1287861,33.5101648,"3300 w camelback rd, phoenix, az 85017, usa"
44,-74.4056612,40.0583238,"new jersey, usa"
46,-95.712891,37.09024,united states
48,-77.0947092,38.984652,"bethesda, md, usa"
50,-79.5443842,40.3011618,"14 w 2nd st, greensburg, pa 15601, usa"
54,-158.0209227,21.5010495,"wahiawa, hi 96786, usa"
56,-115.1335806,36.1140974,"1495 e flamingo rd, las vegas, nv 89119, usa"
57,-81.9178997,28.0291036,"1000 longfellow blvd, lakeland, fl 33801, usa"
61,-95.7099399,37.2248982,"200 arco pl, independence, ks 67301, usa"
64,-82.05077,29.063309,"6006 se front rd, belleview, fl 34420, usa"
65,-87.8289548,42.1275267,"northbrook, il 60062, usa"
70,-95.712891,37.09024,united states
74,-98.4842465,39.011902,"kansas, usa"
75,-122.3032365,40.5092434,"6640 lockheed dr, redding, ca 96002, usa"
76,-71.1166601,42.3770029,"cambridge, ma 02138, usa"
79,-81.5157535,27.6648274,"florida, usa"
81,-90.2590112,29.9922012,"louis armstrong new orleans international airport (msy), 900 airline dr, kenner, la 70062, usa"
82,-79.0192997,35.7595731,"north carolina, usa"
84,-95.3698028,29.7604267,"houston, tx, usa"
85,-86.158068,39.768403,"indianapolis, in, usa"
88,-79.9667766,40.4259915,"2715 sarah st, pittsburgh, pa 15203, usa"
89,-77.0368707,38.9071923,"washington, dc, usa"
91,-99.9018131,31.9685988,"texas, usa"
92,-79.9639145,40.4394832,"3333 fifth ave, pittsburgh, pa 15213, usa"
94,-95.712891,37.09024,united states
96,-74.0059728,40.7127753,"new york, ny, usa"
97,-99.9018131,43.9695148,"south dakota, usa"
101,-71.0588801,42.3600825,"boston, ma, usa"
102,-78.458708,38.253749,"165 earth way dr, stanardsville, va 22973, usa"
108,-75.1652215,39.9525839,"philadelphia, pa, usa"
109,-97.7430608,30.267153,"austin, tx, usa"
111,-118.2200712,33.8958492,"compton, ca, usa"
