"","lon","lat","address"
"1",-105.7820674,39.5500507,"colorado, usa"
"2",-96.5272313,40.9172208,"waverly, ne 68462, usa"
"3",-81.5157535,27.6648274,"florida, usa"
"4",-88.032365,44.195028,"23927 w hillcrest rd, brillion, wi 54110, usa"
"6",-95.712891,37.09024,"united states"
"7",-119.0376023,34.2163937,"camarillo, ca, usa"
"9",-82.6995443,27.8428025,"pinellas park, fl, usa"
"10",-85.6023643,44.3148443,"michigan, usa"
"12",-93.3708567,37.2191474,"4551 w farm rd 130, springfield, mo 65802, usa"
"13",-91.9479586,38.8467082,"fulton, mo 65251, usa"
"16",-77.0368707,38.9071923,"washington, dc, usa"
"18",-85.6023643,44.3148443,"michigan, usa"
"19",-122.3447964,47.6147023,"belltown, seattle, wa, usa"
"22",-99.9018131,31.9685988,"texas, usa"
"24",-122.2055884,47.76095,"bothell, wa, usa"
"25",-117.9389964,33.8080266,"e, anaheim, ca 92802, usa"
"27",-95.712891,37.09024,"united states"
"28",-75.1652215,39.9525839,"philadelphia, pa, usa"
"30",-101.2922906,48.2329668,"minot, nd, usa"
"31",-82.0873181,29.5919136,"hawthorne, fl 32640, usa"
"32",-80.3582261,27.2730492,"port st lucie, fl, usa"
"34",-87.6297982,41.8781136,"chicago, il, usa"
"36",-74.0059728,40.7127753,"new york, ny, usa"
"38",-119.8138027,39.5296329,"reno, nv, usa"
"39",-94.2816148,39.0169509,"blue springs, mo, usa"
"40",-105.937799,35.6869752,"santa fe, nm, usa"
"41",-80.094621,32.603865,"1 sanctuary beach dr, kiawah island, sc 29455, usa"
"43",-85.7584557,38.2526647,"louisville, ky, usa"
"44",-123.2620435,44.5645659,"corvallis, or, usa"
"50",-93.0899578,44.9537029,"st paul, mn, usa"
"55",-80.1448023,40.7866883,"600 w beaver st, zelienople, pa 16063, usa"
"56",-73.9992966,40.7453369,"312-320 w 23rd st la, new york, ny 10011, usa"
"59",-118.2013213,34.0616357,"1500 san pablo st, los angeles, ca 90033, usa"
"60",-99.9018131,43.9695148,"south dakota, usa"
"62",-79.9958864,40.4406248,"pittsburgh, pa, usa"
"63",-80.2331036,26.1275862,"plantation, fl, usa"
"64",-81.2154413,29.5584703,"9 palm harbor village way w suite b, palm coast, fl 32137, usa"
"65",-72.9223431,41.3163244,"new haven, ct 06520, usa"
"66",-95.712891,37.09024,"united states"
"67",-93.2009998,44.9374831,"twin cities, mn, usa"
"68",-116.2146068,43.6187102,"boise, id, usa"
"69",-74.4056612,40.0583238,"new jersey, usa"
"70",-95.7099399,37.2248982,"200 arco pl, independence, ks 67301, usa"
"74",-79.0192997,35.7595731,"north carolina, usa"
"75",-76.1783739,40.0466571,"lancaster county, pa, usa"
"79",-82.907123,40.4172871,"ohio, usa"
"81",-95.712891,37.09024,"united states"
"83",-122.4194155,37.7749295,"san francisco, ca, usa"
"84",-77.0368707,38.9071923,"washington, dc, usa"
"87",-122.272747,37.8715926,"berkeley, ca, usa"
"89",-77.0368707,38.9071923,"washington, dc, usa"
"91",-91.9623327,30.9842977,"louisiana, usa"
"94",-99.9018131,31.9685988,"texas, usa"
"97",-81.3792365,28.5383355,"orlando, fl, usa"
"99",-87.3464271,41.5933696,"gary, in, usa"
"101",-73.9813041,40.5947441,"2725 86th st, brooklyn, ny 11223, usa"
"102",-81.3792365,28.5383355,"orlando, fl, usa"
"107",-77.4105409,39.4142688,"frederick, md, usa"
"114",-85.6023643,44.3148443,"michigan, usa"
"120",-82.907123,40.4172871,"ohio, usa"
"122",-123.4307413,48.118146,"port angeles, wa, usa"
"123",-99.9018131,31.9685988,"texas, usa"
"124",-121.7405167,38.5449065,"davis, ca, usa"
"126",-73.7948516,40.7282239,"queens, ny, usa"
"131",-121.4943996,38.5815719,"sacramento, ca, usa"
"138",-81.6911559,27.8617347,"polk county, fl, usa"
"139",-86.1584923,39.7645091,"130 s meridian st, indianapolis, in 46225, usa"
"141",-104.990251,39.7392358,"denver, co, usa"
"142",-117.1610838,32.715738,"san diego, ca, usa"
"143",-79.0558445,35.9131996,"chapel hill, nc, usa"
"144",-99.9018131,31.9685988,"texas, usa"
"147",-74.0059728,40.7127753,"new york, ny, usa"
"153",-95.712891,37.09024,"united states"
"155",-81.1675409,35.2322636,"2212 union rd #700, gastonia, nc 28054, usa"
"158",-77.4360481,37.5407246,"richmond, va, usa"
"160",-95.9762767,36.0716801,"6314 s peoria ave, tulsa, ok 74136, usa"
"161",-71.1061639,42.4184296,"medford, ma, usa"
"164",-105.7820674,39.5500507,"colorado, usa"
"171",-81.8661442,28.0582985,"central florida, fl, usa"
"186",-121.2880059,38.7521235,"roseville, ca, usa"
"190",-118.3173209,34.0954806,"1316 n bronson ave, los angeles, ca 90028, usa"
"191",-98.6457501,29.4664539,"8075 culebra rd, san antonio, tx 78251, usa"
"198",-71.0588801,42.3600825,"boston, ma, usa"
"205",-118.2000277,34.2068182,"la cañada flintridge, ca 91011, usa"
"206",-121.9780153,37.7799273,"san ramon, ca, usa"
"209",-97.3393788,38.0320628,"1021 washington rd #300, newton, ks 67114, usa"
"216",-79.0192997,35.7595731,"north carolina, usa"
"217",-82.9000751,32.1656221,"georgia, usa"
"221",-77.0909809,38.8816208,"arlington county, arlington, va, usa"
"222",-94.1023906,43.6375818,"blue earth, mn 56013, usa"
"223",-122.2711137,37.8043637,"oakland, ca, usa"
"228",-74.0059728,40.7127753,"new york, ny, usa"
"229",-82.5306527,27.3364347,"sarasota, fl, usa"
"230",-74.307282,40.4128551,"old bridge township, nj, usa"
"232",-74.0059728,40.7127753,"new york, ny, usa"
"234",-77.0368707,38.9071923,"washington, dc, usa"
"236",-79.0558445,35.9131996,"chapel hill, nc, usa"
"241",-77.0368707,38.9071923,"washington, dc, usa"
"245",-117.2942775,34.2327151,"ca-18, california, usa"
"249",-113.5684164,37.0965278,"st george, ut, usa"
"252",-79.0558445,35.9131996,"chapel hill, nc, usa"
"258",-83.7132328,43.0139311,"655-749 n chevrolet ave, flint, mi 48504, usa"
"267",-81.4735257,28.4720521,"orlando, fl 32819, usa"
"270",-79.0558445,35.9131996,"chapel hill, nc, usa"
"271",-72.6239953,41.7203492,"180 glastonbury blvd # 300, glastonbury, ct 06033, usa"
"272",-98.3260363,26.2021844,"207 e expy 83, mission, tx 78572, usa"
"274",-86.1349019,40.2671941,"indiana, usa"
"280",-76.8867008,40.2731911,"harrisburg, pa, usa"
"290",-71.1097335,42.3736158,"cambridge, ma, usa"
"293",-95.712891,37.09024,"united states"
"294",-71.0588801,42.3600825,"boston, ma, usa"
"302",-118.4109089,33.8847361,"manhattan beach, ca, usa"
"304",-73.993516,40.7195084,"131 chrystie st #1, new york, ny 10002, usa"
"306",-86.2353388,41.7055716,"notre dame, in 46556, usa"
"307",-95.712891,37.09024,"united states"
"308",-73.087749,41.6032207,"connecticut, usa"
"309",-118.2436849,34.0522342,"los angeles, ca, usa"
"314",-79.0192997,35.7595731,"north carolina, usa"
"317",-95.712891,37.09024,"united states"
"323",-108.2377519,39.9814297,"rio blanco county, co, usa"
"343",-88.074213,41.5220331,"106 us-6, joliet, il 60433, usa"
"344",-71.0799879,42.3499741,"200 newbury st, boston, ma 02116, usa"
"357",-77.1945247,41.2033216,"pennsylvania, usa"
"363",-71.0557607,42.3577963,"82 water st, boston, ma 02109, usa"
"365",-122.526951,47.2458294,"1620 s mildred st, tacoma, wa 98465, usa"
"366",-94.6858998,46.729553,"minnesota, usa"
"367",-111.3203799,44.5012849,"n fork club rd, island park, id 83429, usa"
"368",-89.8052163,46.1008606,"118332 us-51, manitowish waters, wi 54545, usa"
"379",-122.6764815,45.5230622,"portland, or, usa"
"382",-87.6297982,41.8781136,"chicago, il, usa"
"389",-84.2963123,33.7748275,"decatur, ga 30030, usa"
"390",-97.6982272,39.4795571,"cloud county, ks, usa"
"391",-111.0937311,34.0489281,"arizona, usa"
"393",-122.5760861,45.4940353,"3900 se 82nd ave #2000, portland, or 97266, usa"
"395",-74.0059728,40.7127753,"new york, ny, usa"
"401",-73.134961,40.789142,"long island, new york, usa"
"405",-90.7072561,33.7443245,"1200 north st, cleveland, ms 38732, usa"
"408",-95.3582721,29.7129086,"3620 southmore blvd, houston, tx 77004, usa"
"411",-69.4672352,44.4059902,"palermo, me, usa"
"412",-95.712891,37.09024,"united states"
"423",-92.3340724,38.9517053,"columbia, mo, usa"
"424",-119.1782948,34.199884,"318 s a st, oxnard, ca 93030, usa"
"425",-95.712891,37.09024,"united states"
"429",-86.0376996,30.4768319,"104 fl-20, freeport, fl 32439, usa"
"431",-81.3814238,28.5423463,"135 w central blvd, orlando, fl 32801, usa"
"435",-87.6297982,41.8781136,"chicago, il, usa"
"437",-72.8305154,41.8096201,"avon, ct, usa"
"440",-92.5249756,41.58551,"211 e main st, montezuma, ia 50171, usa"
"441",-83.8888647,43.5944677,"bay city, mi, usa"
"443",-111.0937311,34.0489281,"arizona, usa"
"445",-85.6023643,44.3148443,"michigan, usa"
"447",-71.0453546,42.765245,"62 brown st ste 200, haverhill, ma 01830, usa"
"451",-87.6297982,41.8781136,"chicago, il, usa"
"454",-122.4194155,37.7749295,"san francisco, ca, usa"
"456",-83.5023135,41.6887706,"c n north america rr, toledo, oh 43611, usa"
"459",-94.5785667,39.0997265,"kansas city, mo, usa"
"473",-122.2913078,37.8271784,"san francisco bay area, ca, usa"
"474",-85.1797142,42.3211522,"battle creek, mi, usa"
"475",-87.6235449,41.8919353,"535 n michigan ave #501, chicago, il 60611, usa"
"482",-95.1114412,30.1432567,"61494 fm 1485, new caney, tx 77357, usa"
"484",-97.7430608,30.267153,"austin, tx, usa"
"486",-95.3698028,29.7604267,"houston, tx, usa"
"488",-82.12784,29.2787765,"marion county, fl, usa"
"490",-93.6091064,41.6005448,"des moines, ia, usa"
"501",-114.7420408,44.0682019,"idaho, usa"
"504",-119.4179324,36.778261,"california, usa"
"510",-97.130299,32.659894,"5234 villa del mar ave, arlington, tx 76017, usa"
"511",-117.9189742,33.8120918,"1313 disneyland dr, anaheim, ca 92802, usa"
"514",-93.3788108,43.1435564,"clear lake, ia 50428, usa"
"516",-84.3887358,33.7607067,"240 peachtree st nw, atlanta, ga 30303, usa"
"518",-122.2913078,37.8271784,"san francisco bay area, ca, usa"
"523",-82.5536875,35.4307844,"100 sierra nevada way, mills river, nc 28732, usa"
"526",-95.712891,37.09024,"united states"
"527",-122.8715617,42.3259692,"19 or-99, medford, or 97501, usa"
"528",-71.5661874,43.8047942,"mt morgan, campton, nh 03223, usa"
"533",-73.7562317,42.6525793,"albany, ny, usa"
"535",-97.3242332,37.750381,"3732 n ohio st, wichita, ks 67219, usa"
"536",-77.8600012,40.7933949,"state college, pa, usa"
"538",-95.857444,36.118537,"10664 e 31st st, tulsa, ok 74146, usa"
